species,spectral_c_std,spectral_c_var,spectral_c_median,spectral_c_mean,hnr_std,zcr_std,zcr_var,zcr_median,zcr_mean,pitch_mag_std,pitch_mag_var,pitch_mag_mean,pitch_freq_std,pitch_freq_var,pitch_freq_mean,contrast_s_std,contrast_s_var,contrast_s_median,contrast_s_mean,mel_s_std,mel_s_var,mel_s_median,mel_s_mean,rolloff_min_s_std,rolloff_min_s_var,rolloff_min_s_median,rolloff_min_s_mean,rolloff_max_s_std,rolloff_max_s_var,rolloff_max_s_median,rolloff_max_s_mean,flatness_s_std,flatness_s_var,flatness_s_median,flatness_s_mean,bandwidth_s_std,bandwidth_s_var,bandwidth_s_median,bandwidth_s_mean,chroma_stft_s_std,chroma_stft_s_var,chroma_stft_s_median,chroma_stft_s_mean,rms_s_std,rms_s_var,rms_s_median,rms_s_mean
Aslan,880.7276257847399,775681.1508204248,5547.00703445846,5673.763866236724,0.09209556,0.0390002020551506,0.0015210157603425,0.0966796875,0.1016637489548495,3.5864136,12.862363,0.26765954,169.31337,28667.018,16.341633,17.47193101120213,305.2683732602067,14.298740981383736,21.52154140373051,64.982475,4222.7217,-3.8225572,-8.232082,129.6740464453068,16815.35832149959,344.53125,350.72474655100336,327.37380854036047,107173.61051822058,9065.478515625,8875.95732717803,0.000117493575,0.0037651584,3.8321315e-07,2.1952981e-05,315.84634249891144,32357.8082099298,1921.39316720898,1944.4838618890285,0.29026332,0.084252805,0.41746795,0.45813936,0.07259085,0.005269432,0.20107467,0.18701641
Aslan,890.8782612442335,793664.0763575488,3542.795732194868,3650.8797433186346,0.026135597,0.04062407611184,0.0016503155599405,0.095458984375,0.0969916449652777,1.1069045,1.2252376,0.13475955,169.31337,28667.018,16.341633,17.47193101120213,305.2683732602067,15.484355356296696,21.52154140373051,59.734642,3568.2275,-2.4448056,-7.4489183,55.4172111890208,3071.067295968533,86.1328125,106.768798828125,1552.61856640491,2410624.4127452374,9065.478515625,8875.95732717803,0.02065101,0.00042646425,0.010572045,0.01844109,315.84634249891144,535001.1563805356,1921.39316720898,1944.4838618890285,0.29026332,0.084252805,0.4017774,0.45813936,0.033448543,0.0011188051,0.04462272,0.053502068
Aslan,468.04056773718537,219061.9730477468,1596.6952781036166,1882.9262485534305,0.029398369,0.0257490199742182,0.0006630120296326,0.0419921875,0.0413608743686868,1.4455938,2.0897415,0.11536786,169.31337,28667.018,15.956106,17.508142727332423,306.5350617606432,16.449308925079364,22.793854285572426,85.69755,7344.0703,-1.868716,-13.31692,2.33543829543494,5.454272031784058,0.0,0.25634765625,628.5886551396635,395123.6973702908,8419.482421875,8395.12939453125,5.018047e-06,2.5180797e-11,3.6241858e-07,8.3049383e-07,203.31530792521644,41337.114436725584,1659.6356026962226,1684.0658838208951,0.30637243,0.09386406,0.41495156,0.45813936,0.049384546,0.0024388332,0.03596429,0.06401097
Aslan,933.2821181275044,871015.512016561,2887.3110663214347,2777.9561242597647,0.09119486,0.0219428012166127,0.0034666270116923,0.08447265625,0.0915054009885204,2.931242,8.592179,0.27346915,281.06836,78999.42,37.374916,19.3118187856565,372.9463448100352,14.476033298958589,21.48522235752981,61.17377,3742.2305,-6.2123394,-19.154425,38.40754947062493,1475.139856338501,236.865234375,244.775390625,374.717143789499,140412.93784976006,9969.873046875,9880.11474609375,0.00013651274,1.863573e-08,7.0182705e-07,1.5495421e-05,400.2371970414296,160189.81389558018,2629.0066466941757,2607.4635786461004,0.29026332,0.084252805,0.4017774,0.45813936,0.08572975,0.00734959,0.13934839,0.14023335
Aslan,454.7008492183015,206752.86227984456,1769.6442521227357,1882.9262485534305,0.028175613,0.0219428012166127,0.0004814865252317,0.0419921875,0.0413608743686868,0.7622619,0.58104324,0.041912813,169.31337,28667.018,16.341633,17.201163772486268,295.880035127894,18.28365443262372,24.853857534380047,64.982475,4222.7217,-2.9245863,-16.314945,0.0,0.0,0.0,0.0,930.6930948116524,866189.6367300911,8354.8828125,8126.517526726973,1.6268415e-05,2.6466132e-10,2.1692605e-07,1.5321676e-06,202.3920993830427,40962.56189267543,1921.39316720898,1944.4838618890285,0.29026332,0.084252805,0.4017774,0.45813936,0.06351958,0.0003265374,0.041614998,0.047641452
Aslan,504.2630821795183,254281.2560491876,1794.7509993097783,1701.6979044275542,0.09117205,0.0235792046759681,0.0005559788931511,0.0419921875,0.0413608743686868,2.5364406,6.4335313,0.19147651,169.31337,28667.018,15.951413,18.072617608744128,326.6195072318883,18.516552274133048,24.91498327375955,71.5416,5118.2007,-3.4100661,-10.528175,0.0,0.0,0.0,0.0,914.1805712103852,835726.1167785462,9065.478515625,8875.95732717803,2.0998217e-05,4.4092516e-10,2.7778478e-07,1.6964009e-06,315.84634249891144,99758.91206993967,1909.140878624998,1853.644924934251,0.29026332,0.084252805,0.25328103,0.36527136,0.06258468,0.0039168424,0.13105991,0.11865409
Aslan,398.2463102701308,158600.1236437733,1777.4973306802162,1940.744564633624,0.13870129,0.0189798274122218,0.0003602338485977,0.055419921875,0.0619070870535714,2.5364406,21.466757,0.26765954,301.45425,90874.664,43.144276,18.0170804332895,324.6151873396234,14.380065690137457,20.13127438512606,60.763844,3692.2449,-6.2123394,-6.108925,37.83191182635142,1431.2535524368286,150.732421875,143.0419921875,1008.5629024855858,1017199.1282701492,8882.4462890625,8789.1357421875,0.00013799501,1.9042622e-08,2.9579584e-07,3.5266887e-05,361.1582856297803,130435.307279042,1833.511217353794,1858.1441568088,0.29026332,0.084252805,0.40223408,0.4660513,0.06351958,0.020706402,0.167712,0.1982883
Aslan,547.1687635144702,299393.65576595423,1769.6442521227357,1882.9262485534305,0.054340217,0.0298817884563469,0.0008929212813498,0.0419921875,0.0413608743686868,1.7670233,3.1223714,0.118623644,169.31337,28667.018,16.341633,17.50498315950736,306.4244354146364,18.477183120545966,25.34801306035154,80.60705,6497.4966,-3.987641,-14.207506,0.0,0.0,0.0,0.0,920.9096802005016,848074.6390869899,8720.947265625,8766.376249020375,1.5880065e-05,2.5217645e-10,2.8688044e-07,1.417682e-06,289.5030512819101,83812.01670153624,1721.3141691384683,1765.886145320795,0.31984973,0.10230385,0.31023353,0.3961291,0.05614506,0.003152268,0.04715301,0.07864728
Aslan,212.51318589658243,45161.854179915405,1769.6442521227357,1882.9262485534305,0.064595,0.0139729950055853,0.0001952445894261,0.0419921875,0.0413608743686868,1.5692118,2.4624257,0.09172578,169.31337,28667.018,16.341633,16.74453963510883,280.37960759173046,18.781960163477144,25.01036997351636,78.21129,6117.006,-6.2123394,-14.052857,0.0,0.0,0.0,0.0,917.4767004409044,841763.4958519292,9065.478515625,8875.95732717803,2.1931344e-05,4.8098386e-10,2.5479702e-07,1.6284346e-06,315.84634249891144,32512.706856267258,1921.39316720898,1944.4838618890285,0.30659682,0.094001606,0.3236819,0.39101234,0.039074868,0.0015268454,0.062092487,0.07226507
Aslan,456.30914089450783,208218.03206388385,2591.727991020124,2675.6264363182468,0.08395489,0.0286232635922713,0.0008192912186726,0.08935546875,0.0947265625,3.342603,11.172995,0.26765954,169.31337,28667.018,16.341633,19.079607082831856,364.0314064352476,14.918916449138443,21.52154140373051,65.006966,4225.9053,-6.2123394,-10.09573,80.1342883265198,6421.504165597807,64.599609375,85.06681234529702,431.278948386349,186001.53132123512,9474.609375,9445.187770730196,0.00044700628,1.9981462e-07,9.3710474e-07,5.9946677e-05,258.56077608913034,66853.6749318134,2056.915207677717,2069.507145679568,0.28690156,0.0823125,0.4017774,0.4547333,0.12180422,0.0148362685,0.09230294,0.13050656
