species,spectral_c_std,spectral_c_var,spectral_c_median,spectral_c_mean,hnr_std,zcr_std,zcr_var,zcr_median,zcr_mean,pitch_mag_std,pitch_mag_var,pitch_mag_mean,pitch_freq_std,pitch_freq_var,pitch_freq_mean,contrast_s_std,contrast_s_var,contrast_s_median,contrast_s_mean,mel_s_std,mel_s_var,mel_s_median,mel_s_mean,rolloff_min_s_std,rolloff_min_s_var,rolloff_min_s_median,rolloff_min_s_mean,rolloff_max_s_std,rolloff_max_s_var,rolloff_max_s_median,rolloff_max_s_mean,flatness_s_std,flatness_s_var,flatness_s_median,flatness_s_mean,bandwidth_s_std,bandwidth_s_var,bandwidth_s_median,bandwidth_s_mean,chroma_stft_s_std,chroma_stft_s_var,chroma_stft_s_median,chroma_stft_s_mean,rms_s_std,rms_s_var,rms_s_median,rms_s_mean
Aslan,1508.6840839543224,2276127.6651770934,6311.281598692482,6046.532867053985,0.044828553,0.06096800756874243,0.003717097946902235,0.13037109375,0.1321695458074534,1.3193231,1.7406132,0.12402432,263.22748,69288.71,33.98849,5.363983184065565,28.772315598938157,14.162275633355875,14.888104764713995,54.17716,2935.1646,-15.19983,-20.348501,42.252920730060964,1785.3093102208154,258.3984375,246.62873641304347,234.43280729789353,54958.74113757128,21447.0703125,21438.243036684784,0.052993666,0.0028083285,0.028296934,0.045791786,308.6959139092536,95293.1672642693,6996.255710467563,6915.320647086196,0.28569722,0.0816229,0.42053676,0.47076455,0.033339918,0.0011115501,0.06694928,0.0661999
Aslan,227.18716432586922,51614.0076344295,1596.4708808854336,1660.7990402915814,0.17561078,0.008266915555644067,6.834189280414985e-05,0.037109375,0.03858379289215686,4.0238867,16.191664,0.34027717,163.57805,26757.78,16.341633,18.30019262592003,334.8970501457779,16.005156723850014,22.584143710945803,64.26292,4129.722,-9.892134,-5.3624153,22.18964213568732,492.38021810987004,86.1328125,92.04388786764706,570.2348230546772,325167.753424199,9517.67578125,9555.675551470587,0.00011601303,1.3459023e-08,1.6963004e-07,2.1952981e-05,209.62885111191312,43944.255218500635,1924.9489126492606,1944.4838618890285,0.32121646,0.10318002,0.18822089,0.34016025,0.06351958,0.004034737,0.19194224,0.19314177
Aslan,233.59106593917502,54564.78608660001,2056.2575534953157,2067.6618257580126,0.10347948,0.012462369852765248,0.0001553106623471121,0.052001953125,0.05064325747282609,3.1023967,9.624866,0.3407839,265.9525,70730.74,35.328495,18.88478485005535,356.63509883288003,15.069086024650643,21.39555169910858,62.055977,3850.944,-9.153825,-9.135988,60.67439385185688,3681.3820692902473,150.732421875,126.39054008152173,1149.1752620058194,1320603.7828061439,9582.275390625,9750.796110733696,0.0006108583,3.7314788e-07,3.81243e-07,0.00010574658,246.93670776454255,60977.73764159109,2083.9985124382315,2147.491293198042,0.28088665,0.07889731,0.48446953,0.5146557,0.061270658,0.0037540935,0.17474727,0.15658697
Aslan,535.3980849130864,286651.1093286005,2142.8464761031328,2053.742614705644,0.03521233,0.027728667562391514,0.0007688790047856233,0.029541015625,0.03514588553950472,1.0836601,1.1743194,0.09153848,195.20251,38104.02,16.964426,18.733086883894618,350.9285441995446,17.283703870263224,23.70230188738212,77.558426,6015.3096,-1.8773568,-9.014411,0.0,0.0,0.0,0.0,847.4354369662832,718146.8198262354,9582.275390625,9258.31241247789,6.4142896e-06,4.1143113e-11,5.6368174e-07,9.488024e-07,397.1118402618943,157697.81367618826,2184.042226463502,2101.9189197382634,0.2678408,0.07173869,0.4376057,0.49059168,0.031130739,0.00096912286,0.049424086,0.064589664
Aslan,329.21724877558415,108383.99689136485,2107.281406547551,2129.7301668672826,0.0630553,0.016021652948110483,0.0002566933631896973,0.070556640625,0.06990559895833333,2.925569,8.558954,0.28073394,330.85724,109466.51,49.964607,17.47193101120213,305.2683732602067,15.144562072850714,20.960747286644878,69.91028,4887.447,-8.649866,-13.9612665,62.70243875758731,3931.595826148987,172.265625,177.7685546875,866.9101322923622,751533.1774711609,8774.7802734375,8628.59375,0.00010545642,1.1121056e-08,9.96047e-07,1.4578313e-05,193.22124525042608,37334.449616125305,1818.4562814333872,1834.0475804454773,0.27082425,0.07334578,0.4219073,0.48756623,0.11648208,0.013568075,0.038437106,0.10126458
Aslan,704.0036781729517,495621.178881045,1382.4137435488988,1540.2915280196055,0.008660822,0.024760811509501005,0.0006130977866090374,0.00390625,0.016382378472222223,0.9713331,0.94348794,0.051572014,128.86331,16605.754,7.77859,17.787958415281043,316.41146458376767,16.04253769706339,22.775423452732337,88.86259,7896.559,-0.9467839,-13.259433,0.0,0.0,0.0,0.0,773.5453360549549,598372.386932373,8807.080078125,8835.791015625,2.706075e-06,7.322843e-12,3.8321315e-07,7.0611827e-07,377.39220325665895,142424.8750789154,1921.39316720898,1974.804468395188,0.28505522,0.08125649,0.5806557,0.5845697,0.037068464,0.0013740709,0.034549084,0.050729603
Aslan,587.0236183043178,344596.7284470934,3478.17464324172,3580.7425292710664,0.16637206,0.010915230477115304,0.00011914225636854679,0.046142578125,0.04697359525240385,4.234538,17.931313,0.34301656,169.31337,28667.018,17.332005,3.9231251421026143,15.390910880597657,14.641823232638558,14.323805386204874,37.13091,1378.7043,-5.9433775,-3.2196095,30.564960789045436,934.216828035885,107.666015625,104.35321514423077,349.65588766910525,122259.23978166995,20736.474609375,20774.778864933895,0.0062259445,3.8762388e-05,0.010678003,0.0118140215,497.53555115153625,247541.62465966292,4916.339582886269,5058.3657982930645,0.28107527,0.07900331,0.40257233,0.45813936,0.10182714,0.010368766,0.16839331,0.1944937
Aslan,627.1921728129868,393370.02163787547,1260.9373803249146,1336.520882127938,0.01814866,0.024862048720967804,0.0006181214666037769,0.0078125,0.019723322719194313,0.8625439,0.74398196,0.055226915,139.08339,19344.188,9.977998,17.75650181624204,315.2933567502069,15.989241856863163,22.735662171939126,93.311424,8707.022,-0.098678716,-13.303395,0.0,0.0,0.0,0.0,1096.0812019408734,1201394.0012481494,8053.41796875,7993.512801762441,1.5625556e-05,2.44158e-10,2.762576e-07,1.5093202e-06,302.59151818076214,91561.6268749385,1527.0327590782774,1629.3200978935472,0.3055009,0.09333079,0.47999322,0.5260197,0.02926449,0.00085641036,0.033733796,0.047071062
Aslan,356.2687207197076,126927.40136325698,1169.709335058562,1122.5393857347733,0.07470708,0.017935993384060673,0.00032169985867306825,0.02294921875,0.021675761620603015,1.8552068,3.4417922,0.09539666,107.763016,11612.868,7.6404967,15.655927707811637,245.10807239222416,18.808094018715067,24.43749011532931,84.627,7161.7295,-5.699362,-14.3651495,0.0,0.0,0.0,0.0,1045.2765245010053,1092603.0126729007,7773.486328125,7621.275076554648,3.3796205e-06,1.1421835e-11,1.6282162e-07,3.6839697e-07,216.36526590430998,46813.92828984276,1459.428955379928,1454.8715204889195,0.33718488,0.11369364,0.36030972,0.43016446,0.057310138,0.0032844518,0.04565946,0.077629946
Aslan,212.51318589658243,45161.854179915405,1304.0516999667511,1270.8096506190154,0.064595,0.01397299500558535,0.00019524458942611316,0.03125,0.02888305306085044,1.5692118,2.4624257,0.09172578,114.45244,13099.36,9.431259,16.74453963510883,280.37960759173046,18.781960163477144,25.01036997351636,78.21129,6117.006,-8.205771,-14.052857,0.0,0.0,0.0,0.0,917.4767004409044,841763.4958519292,7902.685546875,7734.271902492668,2.1931344e-05,4.8098386e-10,2.5479702e-07,1.6284346e-06,180.31280280741925,32512.706856267258,1464.863340459524,1458.9941520706154,0.30659682,0.094001606,0.3236819,0.39101234,0.039074868,0.0015268454,0.062092487,0.07226507
Aslan,290.29254558774903,84269.76202381535,1217.3890344840067,1317.7103754776358,0.24994431,0.007066669508969512,4.99378179489994e-05,0.0322265625,0.03373661747685185,5.773184,33.32965,0.42562193,118.42552,14024.604,10.927899,16.314798071213406,266.1726361044687,16.5603897977592,22.045612131076734,62.08031,3853.965,-6.3725133,-2.9969513,19.061539769958948,363.34229840172657,0.0,7.576497395833333,1060.6872234988361,1125057.3860936698,8311.81640625,8508.406575520834,0.00023725294,5.628896e-08,7.418612e-08,3.6394704e-05,401.5558572195333,161247.10646731424,1474.8215188603504,1601.1088140659695,0.3271817,0.10704787,0.17477337,0.3376748,0.12677439,0.016071744,0.28014445,0.26301283
Aslan,547.1687635144702,299393.65576595423,1417.0976488505123,1533.315593840861,0.054340217,0.029881788456346946,0.0008929212813498696,0.02978515625,0.0331449598354232,1.7670233,3.1223714,0.118623644,150.47055,22641.389,12.716679,17.50498315950736,306.4244354146364,18.477183120545966,25.34801306035154,80.60705,6497.4966,-3.987641,-14.207506,0.0,0.0,0.0,0.0,920.9096802005015,848074.6390869899,8720.947265625,8766.376249020375,1.5880065e-05,2.5217645e-10,2.8688044e-07,1.417682e-06,289.5030512819101,83812.01670153624,1721.3141691384685,1765.886145320795,0.31984973,0.10230385,0.31023353,0.3961291,0.05614506,0.003152268,0.04715301,0.07864728
Aslan,393.84799341608596,155116.24191787728,1338.5254712674348,1303.6979307814295,0.12236432,0.02127543862855458,0.0004526442888373924,0.0400390625,0.03402490093659943,3.1161706,9.71052,0.2052687,149.76967,22430.955,13.383852,16.71633260257813,279.4357756800166,17.987323050999635,24.014212716658154,73.23779,5363.774,-6.041287,-11.294509,1.154296056016213,1.3323993849345845,0.0,0.062055340417867436,1002.8886112056679,1005785.5664860333,7816.552734375,7765.605299891931,5.9438144e-06,3.5328927e-11,1.9276143e-07,5.8335274e-07,257.05149306339143,66075.47008611877,1432.1169519344974,1447.5607137578475,0.31963065,0.102163754,0.26809663,0.36855876,0.098349534,0.009672631,0.10855228,0.12646022
Aslan,627.1921728129868,393370.02163787547,1260.9373803249146,1336.520882127938,0.01814866,0.024862048720967804,0.0006181214666037769,0.0078125,0.019723322719194313,0.8625439,0.74398196,0.055226915,139.08339,19344.188,9.977998,17.75650181624204,315.2933567502069,15.989241856863163,22.735662171939126,93.311424,8707.022,-0.098678716,-13.303395,0.0,0.0,0.0,0.0,1096.0812019408734,1201394.0012481494,8053.41796875,7993.512801762441,1.5625556e-05,2.44158e-10,2.762576e-07,1.5093202e-06,302.59151818076214,91561.6268749385,1527.0327590782774,1629.3200978935472,0.3055009,0.09333079,0.47999322,0.5260197,0.02926449,0.00085641036,0.033733796,0.047071062
Aslan,356.2687207197076,126927.40136325698,1169.709335058562,1122.5393857347733,0.07470708,0.017935993384060673,0.00032169985867306825,0.02294921875,0.021675761620603015,1.8552068,3.4417922,0.09539666,107.763016,11612.868,7.6404967,15.655927707811637,245.10807239222416,18.808094018715067,24.43749011532931,84.627,7161.7295,-5.699362,-14.3651495,0.0,0.0,0.0,0.0,1045.2765245010053,1092603.0126729007,7773.486328125,7621.275076554648,3.3796205e-06,1.1421835e-11,1.6282162e-07,3.6839697e-07,216.36526590430998,46813.92828984276,1459.428955379928,1454.8715204889195,0.33718488,0.11369364,0.36030972,0.43016446,0.057310138,0.0032844518,0.04565946,0.077629946
Aslan,704.0036781729517,495621.178881045,1382.4137435488988,1540.2915280196055,0.008660822,0.024760811509501005,0.0006130977866090374,0.00390625,0.016382378472222223,0.9713331,0.94348794,0.051572014,128.86331,16605.754,7.77859,17.787958415281043,316.41146458376767,16.04253769706339,22.775423452732337,88.86259,7896.559,-0.9467839,-13.259433,0.0,0.0,0.0,0.0,773.5453360549549,598372.386932373,8807.080078125,8835.791015625,2.706075e-06,7.322843e-12,3.8321315e-07,7.0611827e-07,377.39220325665895,142424.8750789154,1921.39316720898,1974.804468395188,0.28505522,0.08125649,0.5806557,0.5845697,0.037068464,0.0013740709,0.034549084,0.050729603
Aslan,454.7008492183015,206752.86227984456,1187.139426688224,1074.8008422205644,0.028175613,0.021942801216612733,0.0004814865252317813,0.02197265625,0.022042043585526316,0.7622619,0.58104324,0.041912813,98.763596,9754.247,6.2057157,17.201163772486268,295.880035127894,18.28365443262372,24.853857534380047,98.38124,9678.868,-2.9245863,-16.314945,0.0,0.0,0.0,0.0,930.6930948116523,866189.6367300911,8354.8828125,8126.517526726973,1.6268415e-05,2.6466132e-10,2.1692605e-07,1.5321676e-06,202.3920993830427,40962.56189267543,1516.501347434008,1521.8220989391925,0.335836,0.11278582,0.6166563,0.56181204,0.018070346,0.0003265374,0.041614998,0.047641452
Aslan,420.95943129121684,177206.84279302473,2271.231252968516,2227.0250813594757,0.08334833,0.01906147580067565,0.0003633398596997433,0.07177734375,0.06790413533834587,2.4744506,6.1229053,0.27714512,317.85025,101028.78,46.12299,9.937807592092936,98.76001973745998,15.390096959004538,17.857921587076405,59.71786,3566.223,-7.0074368,-9.298064,60.43154937981505,3651.972160445025,172.265625,167.8942228618421,2057.5054038220496,4233328.486756936,15137.841796875,15199.203330592105,0.0022316454,4.9802416e-06,0.0010039418,0.0015266672,485.26756729129227,235484.6118648089,2448.220634803986,2569.5016414635206,0.28231058,0.07969926,0.34215736,0.41853315,0.06310413,0.003982131,0.10444444,0.114908665
Aslan,516.486521469176,266758.32685932954,2710.0175081145644,2827.8444839696576,0.05188294,0.03395817137408493,0.0011531574030717213,0.091552734375,0.09722900390625,2.207184,4.871661,0.2690835,370.2907,137115.2,55.258667,20.334570259756887,413.4947476489893,15.209626376995452,21.83277494618632,65.92348,4345.9053,-2.0687966,-4.5059986,55.184303570757365,3045.3073605895042,75.3662109375,72.674560546875,551.5576963512683,304215.89240431786,9948.33984375,9983.63037109375,0.00036019858,1.2974301e-07,1.1028366e-06,5.851122e-05,301.61438202966235,90971.23544713511,2457.2417014897037,2474.29440785603,0.26087594,0.068056256,0.5060924,0.53607863,0.06623182,0.0043866537,0.08929896,0.10684407
Aslan,468.04056773718537,219061.97304774678,1596.6952781036166,1553.4213900667003,0.029398369,0.025749019974218232,0.0006630120296326895,0.012939453125,0.026082356770833332,1.4455938,2.0897415,0.11536786,170.86673,29195.441,15.956106,17.508142727332423,306.5350617606432,16.449308925079364,22.793854285572422,85.69755,7344.0703,-1.868716,-13.31692,2.33543829543494,5.454272031784058,0.0,0.25634765625,628.5886551396635,395123.69737029076,8419.482421875,8395.12939453125,5.018047e-06,2.5180797e-11,3.6241858e-07,8.3049383e-07,203.31530792521644,41337.114436725584,1659.6356026962226,1684.0658838208951,0.30637243,0.09386406,0.41495156,0.48247164,0.049384546,0.0024388332,0.03596429,0.06401097
Aslan,625.9181188470733,391773.4915010589,1703.3443278690472,1882.9262485534305,0.122594856,0.013116595834417658,0.00017204508628346264,0.03125,0.03244544719827586,3.9375238,15.504093,0.26765954,135.53374,18369.393,12.506786,4.411595695899832,19.462176584081927,15.529179572241961,15.663773086564657,60.622566,3675.0957,-8.93124,-9.408961,54.590683511024096,2980.1427262007983,0.0,28.587183459051722,2980.5903387815765,8883918.767638072,14868.6767578125,15208.752862338362,0.0015956358,2.5460536e-06,0.00062306476,0.0012777246,795.4685885229105,632770.2753266316,2735.361525187763,2893.41549845351,0.29026332,0.084252805,0.3918485,0.45503935,0.11279832,0.01272346,0.1395179,0.1670971
Aslan,468.04056773718537,219061.97304774678,1596.6952781036166,1553.4213900667003,0.029398369,0.025749019974218232,0.0006630120296326895,0.012939453125,0.026082356770833332,1.4455938,2.0897415,0.11536786,170.86673,29195.441,15.956106,17.508142727332423,306.5350617606432,16.449308925079364,22.793854285572422,85.69755,7344.0703,-1.868716,-13.31692,2.33543829543494,5.454272031784058,0.0,0.25634765625,628.5886551396635,395123.69737029076,8419.482421875,8395.12939453125,5.018047e-06,2.5180797e-11,3.6241858e-07,8.3049383e-07,203.31530792521644,41337.114436725584,1659.6356026962226,1684.0658838208951,0.30637243,0.09386406,0.41495156,0.48247164,0.049384546,0.0024388332,0.03596429,0.06401097
Aslan,504.2630821795183,254281.2560491876,1794.7509993097785,1701.6979044275542,0.09117205,0.023579204675968166,0.0005559788931511991,0.0419921875,0.04136087436868687,2.5364406,6.4335313,0.19147651,165.67133,27446.988,15.951413,18.072617608744128,326.6195072318883,18.516552274133048,24.91498327375955,71.5416,5118.2007,-3.4100661,-10.528175,0.0,0.0,0.0,0.0,914.1805712103852,835726.1167785462,9065.478515625,8875.95732717803,2.0998217e-05,4.4092516e-10,2.7778478e-07,1.6964009e-06,315.84634249891144,99758.91206993967,1909.140878624998,1853.644924934251,0.33126172,0.10973433,0.25328103,0.36527136,0.06258468,0.0039168424,0.13105991,0.11865409
Aslan,958.0977363467964,917951.2723928554,2319.6200675785494,2791.2010731729574,0.13303062,0.024720347729304096,0.0006110955918577102,0.0517578125,0.06156218998015873,5.03364,25.337532,0.45841065,225.5485,50872.12,26.46559,11.704634033080152,136.99845784833815,15.148465280032646,18.331065341059787,48.000977,2304.0938,-8.523642,-7.57843,36.294901432503124,1317.3198699951172,150.732421875,150.390625,2716.336257028436,7378482.661247253,16989.697265625,16699.169921875,0.011344793,0.00012870433,0.0016929285,0.006748385,1049.750467839165,1101976.0447285457,3171.7993360170135,3534.8319191650976,0.29186788,0.085186854,0.44389847,0.48100877,0.16588017,0.027516233,0.1769846,0.21741132
