species,spectral_c_std,spectral_c_var,spectral_c_median,spectral_c_mean,hnr_std,zcr_std,zcr_var,zcr_median,zcr_mean,pitch_mag_std,pitch_mag_var,pitch_mag_mean,pitch_freq_std,pitch_freq_var,pitch_freq_mean,contrast_s_std,contrast_s_var,contrast_s_median,contrast_s_mean,mel_s_std,mel_s_var,mel_s_median,mel_s_mean,rolloff_min_s_std,rolloff_min_s_var,rolloff_min_s_median,rolloff_min_s_mean,rolloff_max_s_std,rolloff_max_s_var,rolloff_max_s_median,rolloff_max_s_mean,flatness_s_std,flatness_s_var,flatness_s_median,flatness_s_mean,bandwidth_s_std,bandwidth_s_var,bandwidth_s_median,bandwidth_s_mean,chroma_stft_s_std,chroma_stft_s_var,chroma_stft_s_median,chroma_stft_s_mean,rms_s_std,rms_s_var,rms_s_median,rms_s_mean
Aslan,493.66578499942716,243818.2099866238,6311.281598692482,6046.532867053985,0.044828553,0.02237518291995555,0.0005008357646388,0.13037109375,0.1321695458074534,1.3193231,1.7406132,0.12402432,263.22748,69288.71,33.98849,17.488457085354746,305.8464043374215,14.162275633355875,21.677158174958414,64.62269749999999,4176.22185,-6.1268132,-20.348501,42.25292073006096,1785.3093102208154,258.3984375,246.62873641304347,919.193190320703,54958.74113757128,9270.0439453125,9067.13486982796,0.0001270031575,0.0028083285,3.8321315e-07,2.7110277e-05,308.6959139092536,95293.1672642693,1923.1710399291205,1974.804468395188,0.29026332,0.084252805,0.40062988499999996,0.456589355,0.033339918,0.0011115501,0.06694928,0.0661999
Aslan,493.66578499942716,51614.0076344295,1596.4708808854336,1660.7990402915814,0.08756347,0.02237518291995555,6.834189280414985e-05,0.037109375,0.0385837928921568,4.0238867,16.191664,0.271276325,170.86673,26757.78,16.341633,18.30019262592003,334.8970501457779,16.005156723850014,22.584143710945803,64.26292,4129.722,-6.1268132,-9.7523455,22.18964213568732,492.3802181098701,86.1328125,92.04388786764706,570.2348230546772,325167.753424199,9517.67578125,9555.675551470587,0.00011601303,1.3459023e-08,1.6963004e-07,2.1952981e-05,312.2711282040825,43944.25521850064,1924.9489126492608,1944.4838618890285,0.32121646,0.10318002,0.18822089,0.34016025,0.06351958,0.004034737,0.19194224,0.122557155
Aslan,493.66578499942716,54564.78608660001,2056.257553495316,2067.6618257580126,0.10347948,0.02237518291995555,0.0001553106623471,0.052001953125,0.050643257472826,3.1023967,9.624866,0.271276325,265.9525,70730.74,35.328495,18.88478485005535,356.63509883288003,15.069086024650645,21.39555169910858,62.055977,3850.944,-6.1268132,-9.135988,60.67439385185688,3681.3820692902473,150.732421875,126.39054008152172,1149.1752620058194,1320603.782806144,9582.275390625,9750.796110733696,0.0006108583,3.7314788e-07,3.81243e-07,0.00010574658,246.93670776454252,60977.73764159109,2083.9985124382315,2147.491293198042,0.29026332,0.084252805,0.40062988499999996,0.456589355,0.061270658,0.0037540935,0.17474727,0.15658697
Aslan,535.3980849130864,286651.1093286005,2142.8464761031328,2053.742614705644,0.03521233,0.0277286675623915,0.0007688790047856,0.029541015625,0.0351458855395047,1.0836601,1.1743194,0.09153848,195.20251,38104.02,16.964426,18.733086883894615,350.9285441995446,17.283703870263224,23.70230188738212,77.558426,6015.3096,-1.8773568,-9.014411,0.0,0.0,0.0,0.0,847.4354369662832,718146.8198262354,9582.275390625,9258.31241247789,6.4142896e-06,4.1143113e-11,5.6368174e-07,9.488024e-07,397.1118402618943,157697.81367618826,2184.042226463502,2101.9189197382634,0.29026332,0.084252805,0.40062988499999996,0.456589355,0.031130739,0.00096912286,0.049424086,0.064589664
Aslan,329.2172487755841,108383.99689136483,2107.281406547551,2129.7301668672826,0.0630553,0.0160216529481104,0.0002566933631896,0.070556640625,0.0699055989583333,2.925569,8.558954,0.28073394,330.85724,109466.51,16.653029500000002,17.47193101120213,305.2683732602067,15.144562072850714,20.96074728664488,69.91028,4887.447,-6.1268132,-13.9612665,62.70243875758731,3931.595826148987,172.265625,177.7685546875,866.9101322923622,751533.1774711609,9270.0439453125,9067.13486982796,0.00010545642,1.1121056e-08,9.96047e-07,1.4578313e-05,312.2711282040825,37334.449616125305,1818.4562814333872,1834.0475804454773,0.29026332,0.084252805,0.40062988499999996,0.456589355,0.11648208,0.013568075,0.038437106,0.10126458
Aslan,704.0036781729517,495621.178881045,1773.570791401476,1908.1745418451983,0.008660822,0.024760811509501,0.000613097786609,0.0440673828125,0.0441672348105453,0.9713331,0.94348794,0.051572014,170.86673,29195.441,16.653029500000002,17.787958415281043,316.41146458376767,16.04253769706339,22.775423452732337,88.86259,7896.559,-0.9467839,-13.259433,0.0,0.0,0.0,0.0,773.5453360549549,598372.386932373,9270.0439453125,9067.13486982796,2.706075e-06,7.322843e-12,3.8321315e-07,7.0611827e-07,377.39220325665895,142424.8750789154,1921.39316720898,1974.804468395188,0.29026332,0.084252805,0.40062988499999996,0.456589355,0.037068464,0.0013740709,0.034549084,0.050729603
Aslan,587.0236183043178,344596.7284470934,3478.17464324172,3580.7425292710664,0.16637206,0.02237518291995555,0.0001191422563685,0.046142578125,0.0469735952524038,2.9284055,17.931313,0.271276325,169.31337,28667.018,17.332005,17.488457085354746,305.8464043374215,14.641823232638558,21.677158174958414,64.62269749999999,4176.22185,-5.9433775,-9.7523455,30.56496078904544,934.216828035885,107.666015625,104.35321514423076,919.193190320703,122259.23978166997,9270.0439453125,9067.13486982796,0.0062259445,3.8762388e-05,0.010678003,0.0118140215,497.53555115153625,247541.6246596629,1923.1710399291205,1974.804468395188,0.29026332,0.084252805,0.40062988499999996,0.456589355,0.10182714,0.010368766,0.16839331,0.122557155
Aslan,627.1921728129868,393370.0216378754,1773.570791401476,1908.1745418451983,0.01814866,0.0248620487209678,0.0006181214666037,0.0440673828125,0.0441672348105453,0.8625439,0.74398196,0.055226915,170.86673,29195.441,16.653029500000002,17.75650181624204,315.2933567502069,15.989241856863163,22.73566217193913,93.311424,8707.022,-0.098678716,-13.303395,0.0,0.0,0.0,0.0,1096.0812019408734,1201394.0012481494,9270.0439453125,9067.13486982796,1.5625556e-05,2.44158e-10,2.762576e-07,1.5093202e-06,302.59151818076214,91561.6268749385,1923.1710399291205,1974.804468395188,0.3055009,0.09333079,0.40062988499999996,0.456589355,0.02926449,0.00085641036,0.033733796,0.047071062
Aslan,356.2687207197076,126927.40136325698,1773.570791401476,1908.1745418451983,0.07470708,0.0179359933840606,0.000321699858673,0.0440673828125,0.0441672348105453,1.8552068,3.4417922,0.09539666,170.86673,29195.441,16.653029500000002,15.655927707811635,245.10807239222416,18.808094018715067,24.43749011532931,84.627,7161.7295,-5.699362,-14.3651495,0.0,0.0,0.0,0.0,1045.2765245010053,1092603.0126729007,9270.0439453125,9067.13486982796,3.3796205e-06,1.1421835e-11,1.6282162e-07,3.6839697e-07,312.2711282040825,46813.92828984276,1923.1710399291205,1974.804468395188,0.29026332,0.084252805,0.36030972,0.43016446,0.057310138,0.0032844518,0.04565946,0.077629946
Aslan,493.66578499942716,45161.854179915405,1773.570791401476,1908.1745418451983,0.064595,0.02237518291995555,0.0001952445894261,0.03125,0.0441672348105453,1.5692118,2.4624257,0.09172578,170.86673,29195.441,16.653029500000002,16.74453963510883,280.37960759173046,18.781960163477144,25.01036997351636,78.21129,6117.006,-6.1268132,-14.052857,0.0,0.0,0.0,0.0,917.4767004409044,841763.4958519292,9270.0439453125,9067.13486982796,2.1931344e-05,4.8098386e-10,2.5479702e-07,1.6284346e-06,312.2711282040825,32512.706856267258,1923.1710399291205,1974.804468395188,0.30659682,0.094001606,0.3236819,0.39101234,0.039074868,0.0015268454,0.062092487,0.07226507
